0	483	197	54	86
0	358	122	49	81
0	551	355	60	98
0	604	102	40	89
0	296	100	48	74
0	389	248	61	60
0	737	240	74	103
0	195	215	61	91
1	610	89	40	89
1	292	76	48	74
1	411	242	61	60
1	734	237	74	103
1	176	205	61	91
2	610	89	40	89
2	292	74	48	74
2	411	242	61	60
2	734	237	74	103
2	173	204	61	91
3	610	90	40	89
3	292	74	48	74
3	411	242	61	60
3	734	237	74	103
3	172	204	61	91
4	610	90	40	89
4	292	74	48	74
4	411	242	61	60
4	734	238	74	103
4	171	204	61	91
5	593	73	40	89
5	292	73	48	74
5	411	243	61	60
5	549	348	55	97
5	734	238	74	103
5	171	204	61	91
5	485	198	48	81
6	292	71	48	74
6	411	242	61	60
6	552	372	55	97
6	734	238	74	103
6	170	204	61	91
6	480	195	48	81
7	292	71	48	74
7	412	242	61	60
7	547	371	55	97
7	735	237	74	103
7	170	204	61	91
7	480	193	48	81
8	293	71	48	74
8	413	242	61	60
8	546	369	55	97
8	735	238	74	103
8	170	204	61	91
8	480	193	48	81
9	293	71	48	74
9	413	243	61	60
9	550	369	55	97
9	736	238	74	103
9	171	204	61	91
9	481	193	48	81
10	293	71	48	74
10	412	243	61	60
10	549	369	55	97
10	736	238	74	103
10	170	204	61	91
10	480	193	48	81
10	602	103	46	81
11	412	243	61	60
11	549	368	55	97
11	736	238	74	103
11	170	204	61	91
11	480	193	48	81
11	601	94	46	81
12	412	243	61	60
12	550	368	55	97
12	736	239	74	103
12	170	204	61	91
12	480	193	48	81
12	603	95	46	81
13	412	243	61	60
13	548	366	55	97
13	736	240	74	103
13	170	204	61	91
13	480	193	48	81
13	603	95	46	81
14	412	243	61	60
14	547	366	55	97
14	736	240	74	103
14	169	204	61	91
14	480	193	48	81
14	603	95	46	81
15	366	128	58	81
15	289	106	59	57
15	412	243	61	60
15	547	366	55	97
15	737	240	74	103
15	169	205	61	91
15	479	193	48	81
15	602	95	46	81
16	547	367	55	97
16	737	242	74	103
16	170	205	61	91
16	479	194	48	81
16	602	95	46	81
17	549	367	55	97
17	735	235	74	103
17	170	206	61	91
17	479	194	48	81
17	600	93	46	81
18	548	367	55	97
18	735	235	74	103
18	170	206	61	91
18	479	194	48	81
18	600	93	46	81
19	547	367	55	97
19	735	235	74	103
19	170	206	61	91
19	479	195	48	81
19	600	94	46	81
20	229	125	62	65
20	296	106	54	64
20	550	368	55	97
20	735	235	74	103
20	170	206	61	91
20	377	257	82	59
20	478	195	48	81
20	340	358	73	90
20	364	123	55	84
20	600	94	46	81
21	549	368	55	97
21	736	234	74	103
21	170	206	61	91
21	357	270	82	59
21	478	195	48	81
21	361	345	73	90
21	355	135	55	84
21	600	94	46	81
22	548	368	55	97
22	736	234	74	103
22	170	206	61	91
22	357	269	82	59
22	478	196	48	81
22	361	343	73	90
22	356	136	55	84
22	600	94	46	81
23	548	368	55	97
23	736	234	74	103
23	170	206	61	91
23	356	268	82	59
23	478	196	48	81
23	361	343	73	90
23	356	136	55	84
23	600	94	46	81
24	547	369	55	97
24	736	234	74	103
24	170	207	61	91
24	356	268	82	59
24	478	196	48	81
24	360	343	73	90
24	355	137	55	84
24	600	95	46	81
25	546	369	55	97
25	736	234	74	103
25	170	207	61	91
25	354	268	82	59
25	216	115	72	76
25	478	196	48	81
25	360	343	73	90
25	356	137	55	84
25	600	95	46	81
26	547	369	55	97
26	736	234	74	103
26	170	207	61	91
26	353	269	82	59
26	229	136	72	76
26	478	196	48	81
26	360	343	73	90
26	356	138	55	84
26	600	95	46	81
27	547	369	55	97
27	736	234	74	103
27	170	207	61	91
27	353	269	82	59
27	233	137	72	76
27	478	197	48	81
27	360	343	73	90
27	357	138	55	84
27	600	95	46	81
28	546	369	55	97
28	736	234	74	103
28	171	207	61	91
28	353	269	82	59
28	229	132	72	76
28	478	197	48	81
28	360	343	73	90
28	358	139	55	84
28	600	95	46	81
29	545	369	55	97
29	736	235	74	103
29	170	207	61	91
29	353	269	82	59
29	229	132	72	76
29	478	197	48	81
29	360	343	73	90
29	358	139	55	84
29	600	96	46	81
30	550	369	55	97
30	736	234	74	103
30	170	207	61	91
30	352	270	82	59
30	229	132	72	76
30	478	198	48	81
30	359	343	73	90
30	358	139	55	84
30	600	96	46	81
31	736	235	74	103
31	171	207	61	91
31	352	270	82	59
31	230	136	72	76
31	478	198	48	81
31	359	344	73	90
31	359	140	55	84
31	601	96	46	81
32	736	235	74	103
32	171	207	61	91
32	353	270	82	59
32	232	137	72	76
32	479	198	48	81
32	360	344	73	90
32	360	140	55	84
32	601	96	46	81
33	737	235	74	103
33	172	207	61	91
33	353	270	82	59
33	232	137	72	76
33	479	198	48	81
33	360	344	73	90
33	362	141	55	84
33	602	97	46	81
34	737	235	74	103
34	172	206	61	91
34	353	270	82	59
34	233	137	72	76
34	479	198	48	81
34	360	343	73	90
34	362	141	55	84
34	602	96	46	81
35	737	235	74	103
35	172	206	61	91
35	353	269	82	59
35	233	137	72	76
35	479	198	48	81
35	360	343	73	90
35	363	141	55	84
35	522	355	56	91
35	602	96	46	81
36	737	235	74	103
36	172	206	61	91
36	353	269	82	59
36	233	137	72	76
36	479	199	48	81
36	360	343	73	90
36	363	141	55	84
36	514	364	56	91
36	602	96	46	81
37	737	235	74	103
37	172	206	61	91
37	353	270	82	59
37	232	136	72	76
37	480	200	48	81
37	360	343	73	90
37	364	141	55	84
37	515	363	56	91
37	602	96	46	81
38	737	235	74	103
38	172	206	61	91
38	353	269	82	59
38	232	136	72	76
38	480	200	48	81
38	360	343	73	90
38	364	142	55	84
38	515	362	56	91
38	602	96	46	81
39	736	235	74	103
39	172	206	61	91
39	353	269	82	59
39	232	137	72	76
39	479	200	48	81
39	360	343	73	90
39	364	142	55	84
39	515	362	56	91
39	602	96	46	81
40	344	214	69	57
40	735	235	74	103
40	171	206	61	91
40	352	269	82	59
40	231	137	72	76
40	479	201	48	81
40	359	343	73	90
40	364	142	55	84
40	515	362	56	91
40	601	97	46	81
41	735	235	74	103
41	171	206	61	91
41	351	270	82	59
41	231	137	72	76
41	479	202	48	81
41	358	344	73	90
41	364	143	55	84
41	515	363	56	91
41	601	97	46	81
42	734	235	74	103
42	171	206	61	91
42	352	267	82	59
42	231	137	72	76
42	479	203	48	81
42	358	344	73	90
42	364	144	55	84
42	514	363	56	91
42	601	98	46	81
43	734	235	74	103
43	171	206	61	91
43	352	266	82	59
43	231	137	72	76
43	479	203	48	81
43	358	344	73	90
43	364	144	55	84
43	515	363	56	91
43	602	98	46	81
44	735	234	74	103
44	172	205	61	91
44	353	266	82	59
44	232	136	72	76
44	480	203	48	81
44	359	343	73	90
44	365	144	55	84
44	515	362	56	91
44	602	97	46	81
45	736	235	74	103
45	173	205	61	91
