225	0	468	308	60	57
225	1	403	341	55	58
225	2	491	357	59	90
225	3	499	283	58	42
225	4	644	150	42	50
225	5	562	100	54	62
225	6	745	298	50	67
225	7	759	243	51	76
225	8	706	149	53	68
225	9	789	108	52	69
225	10	407	265	40	64
225	11	238	150	52	69
225	12	122	273	46	71
226	0	468	308	60	57
226	1	403	341	55	58
226	2	491	357	59	90
226	3	499	283	58	42
226	4	644	150	42	50
226	5	562	100	54	62
226	6	745	298	50	67
226	7	759	243	51	76
226	8	706	149	53	68
226	9	789	108	52	69
226	10	407	265	40	64
226	11	238	150	52	69
226	12	124	273	46	71
227	0	468	308	60	57
227	1	403	341	55	58
227	2	491	357	59	90
227	3	499	283	58	42
227	4	644	150	42	50
227	5	560	100	54	62
227	6	745	298	50	67
227	7	759	243	51	76
227	8	706	149	53	68
227	9	789	108	52	69
227	10	407	265	40	64
227	11	238	150	52	69
227	12	124	273	46	71
228	0	470	308	60	57
228	1	403	341	55	58
228	2	491	357	59	90
228	3	499	283	58	42
228	4	644	150	42	50
228	5	558	100	54	62
228	6	745	298	50	67
228	7	759	243	51	76
228	8	706	149	53	68
228	9	789	108	52	69
228	10	407	265	40	64
228	11	238	150	52	69
228	12	124	273	46	71
229	0	472	308	60	57
229	1	403	341	55	58
229	2	491	357	59	90
229	3	501	283	58	42
229	4	644	150	42	50
229	5	558	100	54	62
229	6	745	298	50	67
229	7	759	243	51	76
229	8	706	149	53	68
229	9	789	108	52	69
229	10	409	265	40	64
229	11	236	150	52	69
229	12	126	273	46	71
230	0	478	308	60	57
230	1	403	341	55	58
230	2	491	357	59	90
230	3	501	283	58	42
230	4	644	150	42	50
230	5	556	100	54	62
230	6	745	302	50	67
230	7	759	243	51	76
230	8	706	149	53	68
230	9	789	108	52	69
230	10	407	265	40	64
230	11	236	150	52	69
230	12	126	273	46	71
231	0	478	308	60	57
231	1	403	341	55	58
231	2	491	357	59	90
231	3	503	283	58	42
231	4	644	150	42	50
231	5	552	100	54	62
231	6	745	302	50	67
231	7	759	245	51	76
231	8	706	149	53	68
231	9	789	110	52	69
231	10	407	265	40	64
